,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
Shakespeare Ave & W 169 St,,,,,,,,45.0,218.0,207.0,139.0,113.0
E 158 St & Melrose Ave,,,,,,,,43.0,249.0,163.0,86.0,80.0
W 159 St & Edgecombe Ave,,,,,,,,39.0,84.0,124.0,100.0,79.0
Nelson Ave & W 172 St,,,,,,,,32.0,395.0,400.0,299.0,138.0
Inwood Ave & W 170 St,,,,,,,,31.0,295.0,138.0,88.0,41.0
W 170 St & University Ave,,,,,,,,26.0,361.0,272.0,140.0,92.0
Sheridan Ave & E 168 St,,,,,,,,23.0,194.0,285.0,242.0,127.0
Grand Concourse & E 156 St,,,,,,,,2.0,314.0,190.0,93.0,31.0
1 Ave & E 39 St,,,,,,,,,6349.0,6365.0,5273.0,3313.0
E 39 St & Lexington Ave,,,,,,,,,5076.0,5967.0,4073.0,2741.0
Liberty St & Nassau St,,,,,,,,,1512.0,,224.0,819.0
E 161 St & River Ave,,,,,,,,,1303.0,1141.0,634.0,343.0
W 20 St & 10 Ave,,,,,,,,,1086.0,4664.0,3722.0,2371.0
E 44 St & 2 Ave,,,,,,,,,1072.0,2030.0,1561.0,896.0
Greenwich St & Hubert St,,,,,,,,,1020.0,1732.0,1132.0,588.0
Sullivan Pl & Franklin Ave,,,,,,,,,514.0,1998.0,1462.0,873.0
River Ave & E 153 St,,,,,,,,,471.0,555.0,343.0,223.0
Grand Concourse & E 161 St,,,,,,,,,422.0,574.0,438.0,192.0
W 36 St & 9 Ave,,,,,,,,,381.0,2875.0,2597.0,1606.0
Park Ave & E 162 St,,,,,,,,,374.0,355.0,292.0,121.0
W 181 St & Riverside Dr,,,,,,,,,358.0,1255.0,635.0,200.0
Grand Concourse & East Mount Eden Ave,,,,,,,,,323.0,701.0,463.0,106.0
Clay Ave & E 173 St,,,,,,,,,297.0,228.0,149.0,60.0
Grand Concourse & E 164 St,,,,,,,,,282.0,344.0,260.0,100.0
College Ave & E 170 St,,,,,,,,,280.0,225.0,122.0,43.0
Broadway & W 155 St,,,,,,,,,274.0,572.0,403.0,214.0
Morris Ave & McClellan St,,,,,,,,,260.0,316.0,323.0,131.0
Westchester Ave & Longwood Ave,,,,,,,,,250.0,331.0,253.0,117.0
Jerome Ave & Anderson Ave,,,,,,,,,220.0,168.0,126.0,54.0
Goble Pl & Macombs Rd,,,,,,,,,211.0,377.0,321.0,101.0
Walton Ave & E 168 St,,,,,,,,,187.0,277.0,215.0,106.0
Longwood Ave & Southern Blvd,,,,,,,,,173.0,230.0,234.0,95.0
3 Ave & E 169 St,,,,,,,,,159.0,385.0,,
Ogden Ave & Merriam Ave,,,,,,,,,158.0,149.0,79.0,28.0
Southern Blvd & E 172 St,,,,,,,,,153.0,375.0,122.0,59.0
Faile St & Garrison Ave,,,,,,,,,148.0,165.0,43.0,3.0
