,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
W 46 St & 11 Ave,2608.0,2313.0,2342.0,1408.0,3016.0,3739.0,4141.0,4820.0,4756.0,3670.0,2668.0,1315.0
Barclay St & Church St,2606.0,2206.0,1560.0,640.0,1211.0,1721.0,1998.0,2111.0,2380.0,2200.0,1563.0,1009.0
E 45 St & 3 Ave,2593.0,2274.0,1817.0,890.0,1951.0,2471.0,2657.0,2820.0,2832.0,2478.0,1896.0,1358.0
Henry St & Grand St,2561.0,2328.0,2220.0,1417.0,2657.0,3525.0,3990.0,4208.0,4759.0,4617.0,3526.0,2760.0
Amsterdam Ave & W 79 St,2560.0,2224.0,2023.0,1265.0,2475.0,3269.0,3720.0,864.0,,,,
Bergen St & Smith St,2556.0,2437.0,1877.0,825.0,1561.0,2095.0,3149.0,3340.0,3586.0,3236.0,2717.0,1925.0
W 45 St & 6 Ave,2554.0,2464.0,1792.0,814.0,1833.0,2136.0,2480.0,2876.0,3025.0,2967.0,1113.0,
Greenwich Ave & Charles St,2553.0,2325.0,1894.0,1124.0,2588.0,3455.0,4154.0,4827.0,4900.0,4638.0,3281.0,1810.0
W 37 St & 5 Ave,2550.0,2329.0,1911.0,660.0,1608.0,2074.0,2595.0,2739.0,3219.0,2994.0,2289.0,1625.0
Murray St & West St,2542.0,2265.0,2123.0,929.0,1821.0,2206.0,2560.0,2814.0,3435.0,3323.0,2520.0,1388.0
Broadway & W 53 St,2537.0,2289.0,2081.0,1165.0,1731.0,2345.0,2579.0,3090.0,2713.0,3479.0,2399.0,2025.0
Suffolk St & Stanton St,2533.0,2558.0,2203.0,1328.0,2827.0,4266.0,4378.0,4957.0,5516.0,5204.0,4087.0,2377.0
E 10 St & 5 Ave,2524.0,2527.0,1971.0,1073.0,2348.0,3527.0,3502.0,3495.0,4408.0,3058.0,,
Bank St & Hudson St,2515.0,2232.0,2114.0,1471.0,2920.0,3909.0,4492.0,4569.0,4765.0,4385.0,3374.0,2106.0
W 40 St & 5 Ave,2513.0,2147.0,1730.0,787.0,2048.0,2547.0,3195.0,3381.0,3735.0,3411.0,3266.0,2234.0
E 47 St & 2 Ave,2505.0,2279.0,1831.0,940.0,1945.0,2184.0,2789.0,2924.0,3225.0,2960.0,2167.0,1468.0
1 Ave & E 44 St,2504.0,2287.0,1928.0,1104.0,2809.0,2909.0,3054.0,3222.0,2779.0,2517.0,1986.0,1285.0
E 72 St & York Ave,2460.0,2165.0,2247.0,1872.0,3245.0,4514.0,4671.0,4767.0,5026.0,4937.0,4154.0,3258.0
E 2 St & Avenue C,2455.0,2333.0,1950.0,1277.0,2250.0,3176.0,3198.0,3859.0,3970.0,3492.0,2692.0,1776.0
W 67 St & Broadway,2450.0,2068.0,1678.0,803.0,1520.0,2098.0,2983.0,3381.0,4084.0,3536.0,2956.0,2075.0
DeKalb Ave & Hudson Ave,2444.0,2258.0,1648.0,783.0,1879.0,1659.0,2334.0,2337.0,2221.0,2069.0,1609.0,1043.0
W 56 St & 10 Ave,2421.0,2102.0,1938.0,1281.0,2369.0,3405.0,3561.0,3789.0,4071.0,3454.0,2445.0,1530.0
W 59 St & 10 Ave,2421.0,2326.0,2217.0,1798.0,3028.0,3519.0,3800.0,3842.0,4434.0,4382.0,3617.0,2277.0
Perry St & Bleecker St,2393.0,2206.0,2075.0,1404.0,2887.0,4000.0,4473.0,5480.0,5609.0,5102.0,3414.0,1950.0
Washington Pl & Broadway,2366.0,2644.0,1825.0,659.0,1462.0,2241.0,2406.0,3229.0,3870.0,3524.0,2926.0,1780.0
6 Ave & Canal St,2364.0,2045.0,1666.0,689.0,1347.0,1934.0,2221.0,2424.0,2922.0,2550.0,1590.0,967.0
Central Park West & W 68 St,2349.0,2224.0,2478.0,2406.0,5810.0,5933.0,5730.0,7021.0,7715.0,6196.0,4795.0,2855.0
South St & Gouverneur Ln,2346.0,1947.0,2601.0,1304.0,3315.0,4411.0,5180.0,5309.0,4720.0,3353.0,2368.0,1338.0
